Key,English,Français,Allemand,Espagnol,Chinois,Japonais,Portuguais,Russe
HowToPlayMenu.Window3,"You can open your spellbook by pressing the book button on the upper right corner of the screen. After this, drag and drop the spells you want in your spell bar to replace another spell.
","Vous pouvez ouvrir votre grimoire en appuyant sur le bouton livre dans le coin supérieur droit de l'écran. Ensuite, faites glisser et déposez les sorts que vous souhaitez dans votre barre de sorts pour remplacer un autre sort.","Du kannst dein Zauberbuch öffnen, indem du den Buch-Button in der oberen rechten Ecke des Bildschirms drückst. Ziehe danach die gewünschten Zauber in deine Zauberleiste und ersetze damit einen anderen Zauber.","Puedes abrir tu libro de hechizos presionando el botón del libro en la esquina superior derecha de la pantalla. Después de esto, arrastra y suelta los hechizos que desees en tu barra de hechizos para reemplazar otro hechizo.",您可以通过点击屏幕右上角的书本按钮来打开您的法术书。然后，将您想要的法术拖放到法术栏中，以替换其他法术。,画面の右上隅にある本のボタンを押すと、呪文書を開くことができます。その後、別の呪文と入れ替えるために、スペルバーに追加したい呪文をドラッグアンドドロップしてください。," Você pode abrir seu grimório pressionando o botão do livro no canto superior direito da tela. Em seguida, arraste e solte os feitiços que você deseja na sua barra de feitiços para substituir outro feitiço.","Вы можете открыть свою книгу заклинаний, нажав кнопку книги в верхнем правом углу экрана. После этого перетащите и бросьте заклинания, которые вы хотите поместить на панель заклинаний, чтобы заменить другое заклинание."
HowToPlayMenu.Window3.Title,"Swapping spells
", Échange de sorts,Zauber austauschen,Intercambio de hechizos,交换法术,呪文の入れ替え,Troca de feitiços,Обмен заклинаниями
HowToPlayMenu.Window4,"-Heal (2) : Heal target for 2 HP
-Mass Heal (5) : Heal all allies for 2 HP
-Regeneration (3) : heal 1 HP/turn for 3 turns
-Resurrection (10) : Revives the target if dead.
-Antidote (4) : Removes all effects of target 
(positive and negative)
-Spirit Shield (4) : Shield target of all damage from the next attack they receive (breaks afterwards.)
-Resonance Shield (8) : Sends back damage done to the target to the attacker (lasts 2 turn)
-Blessing of Strength (6): Target’s next attack does +2 damage
-Mana Profusion (4) : Cost of the next spell casted is refunded next turn
-Initiative (3) : Makes the target take their turn first, before the monster","Heal (2) : Soigne la cible de 2 PV.
Mass Heal (5) : Soigne tous les alliés de 2 PV.
Regeneration (3) : Soigne 1 PV par tour pendant 3 tours.
Resurrection (10) : Ressuscite la cible si elle est morte.
Antidote (4) : Supprime tous les effets de la cible (positifs et négatifs).
Spirit Shield (4) : Protège la cible de tous les dégâts de la prochaine attaque qu'elle reçoit (se brise ensuite).
Resonance Shield (8) : Renvoie les dégâts infligés à la cible à l'attaquant (dure 2 tours).
Blessing of Strength (6) : La prochaine attaque de la cible inflige +2 dégâts.
Mana Profusion (4) : Le coût du prochain sort lancé est remboursé au tour suivant.
Initiative (3) : Fait prendre son tour en premier à la cible, avant le monstre.","Heal (2) : Heilt das Ziel um 2 TP.
Mass Heal (5) : Heilt alle Verbündeten um 2 TP.
Regeneration (3) : Heilt 1 TP pro Runde für 3 Runden.
Resurrection (10) : Belebt das Ziel wieder, falls tot.
Antidote (4) : Entfernt alle Effekte des Ziels (positiv und negativ).
Spirit Shield (4) : Schützt das Ziel vor jeglichem Schaden des nächsten Angriffs, den es erleidet (bricht danach).
Resonance Shield (8) : Schickt den erlittenen Schaden zurück zum Angreifer (hält 2 Runden an).
Blessing of Strength (6) : Der nächste Angriff des Ziels verursacht +2 Schaden.
Mana Profusion (4) : Die Kosten des nächsten gewirkten Zaubers werden im nächsten Zug zurückerstattet.
Initiative (3) : Das Ziel ist zuerst am Zug, vor dem Monster.","Heal (2) : Cura al objetivo en 2 PS.
Mass Heal (5) : Cura a todos los aliados en 2 PS.
Regeneration (3) : Cura 1 PS por turno durante 3 turnos.
Resurrection (10) : Revive al objetivo si está muerto.
Antidote (4) : Elimina todos los efectos del objetivo (positivos y negativos).
Spirit Shield (4) : Protege al objetivo de todo el daño del próximo ataque que reciba (se rompe después).
Resonance Shield (8) : Devuelve el daño infligido al objetivo al atacante (dura 2 turnos).
Blessing of Strength (6) : El siguiente ataque del objetivo hace +2 de daño.
Mana Profusion (4) : El costo del próximo hechizo lanzado se devuelve en el siguiente turno.
Initiative (3) : Hace que el objetivo tome su turno primero, antes del monstruo.","Heal (2) : 为目标恢复 2 点生命值。
Mass Heal (5) : 为所有盟友恢复 2 点生命值。
Regeneration (3) : 每回合为目标恢复 1 点生命值，持续 3 回合。
Resurrection (10) : 如果目标已死亡，则使其复活。
Antidote (4) : 移除目标的所有效果（正面和负面）。
Spirit Shield (4) : 保护目标免受下次攻击造成的所有伤害（之后会破裂）。
Resonance Shield (8) : 将对目标造成的伤害反弹给攻击者（持续 2 回合）。
Blessing of Strength (6) : 目标的下次攻击增加 2 点伤害。
Mana Profusion (4) : 下一个施放的法术的法力消耗将在下一回合退还。","Heal (2) : 対象を2ポイント回復する。
Mass Heal (5) : 全ての味方を2ポイント回復する。
Regeneration (3) : 3ターンの間、1ターンにつき対象を1ポイント回復する。
Resurrection (10) : 対象を蘇生させる（死んでいる場合）。
Antidote (4) : 対象のすべての効果（ポジティブおよびネガティブ）を取り除く。
Spirit Shield (4) : 対象を次に受ける攻撃からすべてのダメージを防ぐ盾で守る（その後破壊される）。
Resonance Shield (8) : 対象に対して与えられたダメージを攻撃者に返す（2ターン持続）。
Blessing of Strength (6) : 対象の次の攻撃に+2のダメージを与える。
Mana Profusion (4) : 次に行われる呪文のコストが次のターンで返金される。
Initiative (3) : 対象に先制権を与え、モンスターよりも先に行動させる。","Heal (2) : Cura o alvo em 2 pontos de vida (PV).
Mass Heal (5) : Cura todos os aliados em 2 pontos de vida (PV).
Regeneration (3) : Cura 1 ponto de vida (PV) por turno durante 3 turnos.
Resurrection (10) : Revive o alvo, caso esteja morto.
Antidote (4) : Remove todos os efeitos do alvo (positivos e negativos).
Spirit Shield (4) : Protege o alvo de todo o dano do próximo ataque que ele receber (quebra depois).
Resonance Shield (8) : Devolve o dano causado ao alvo de volta ao atacante (dura 2 turnos).
Blessing of Strength (6) : O próximo ataque do alvo causa +2 de dano.
Mana Profusion (4) : O custo do próximo feitiço lançado é reembolsado no próximo turno.
Initiative (3) : Faz com que o alvo tome seu turno primeiro, antes do monstro.","Heal (2) : Исцеляет цель на 2 ед. здоровья.
Mass Heal (5) : Исцеляет всех союзников на 2 ед. здоровья.
Regeneration (3) : Исцеляет 1 ед. здоровья каждый ход в течение 3 ходов.
Resurrection (10) : Воскрешает цель, если она мертва.
Antidote (4) : Удаляет все эффекты с цели (положительные и отрицательные).
Spirit Shield (4) : Защищает цель от всего урона от следующей атаки, которую она получит (потом разрушается).
Resonance Shield (8) : Возвращает урон, нанесенный цели, обратно атакующему (длится 2 хода).
Blessing of Strength (6) : Следующая атака цели наносит дополнительно +2 урона.
Mana Profusion (4) : Стоимость следующего произнесенного заклинания возвращается в следующем ходу.
Initiative (3) : Позволяет цели ходить первой, перед монстром."
HowToPlayMenu.Window4.Title,Spell List,Liste des sorts,Zauberliste,"Lista de hechizos",法术列表,呪文リスト,Lista de feitiços, Список заклинаний
HowToPlayMenu.Window5,"1 : Berserker

Your primary damage dealer. Has 4 health points.
Does a single damage per attack, but each missing health point will provide one additional damage.

2 : Paladin

Your tank. Has 6 health points, and does a single damage per attack.
Has the ability to stun for a single turn, or provoke the enemy, preventing them from attacking anyone else for the duration.

3 : Archer

Your secondary damage dealer. Has 3 health points does 2 damage per attack.
Can also send a poisoned arrow, doing a single damage but poisoning the target for two turns.
","1 : Berserker : Votre principal source dégât. Possède 4 points de vie. Inflige un seul point de dégât par attaque, mais chaque point de vie manquant lui confère un dégât supplémentaire.
2 : Paladin : Votre tank. Possède 6 points de vie et inflige un seul point de dégât par attaque. Possède la capacité d'étourdir l'ennemi pendant un tour ou de provoquer l'ennemi, l'empêchant d'attaquer quelqu'un d'autre pendant la durée.
3 : Archer : Votre second dégât. Possède 3 points de vie et inflige 2 points de dégât par attaque. Peut également envoyer une flèche empoisonnée, infligeant un seul point de dégât mais empoisonnant la cible pendant deux tours.","1 : Berserker : Dein Hauptangreifer. Hat 4 Lebenspunkte. Fügt mit jedem Angriff einen Schaden zu, aber für jeden fehlenden Lebenspunkt wird ein zusätzlicher Schaden verursacht.
2 : Paladin : Dein Tank. Hat 6 Lebenspunkte und fügt mit jedem Angriff einen Schaden zu. Hat die Fähigkeit, den Gegner für einen einzelnen Zug zu betäuben oder ihn zu provozieren, sodass er während der Dauer niemand anderen angreifen kann.
3 : Bogenschütze : Dein sekundärer Angreifer. Hat 3 Lebenspunkte und fügt mit jedem Angriff 2 Schaden zu. Kann auch einen vergifteten Pfeil abschießen, der einen einzelnen Schaden verursacht, aber das Ziel für zwei Züge vergiftet.","1 : Berserker : Tu principal cazador de daño. Tiene 4 puntos de salud. Inflige un solo punto de daño por ataque, pero cada punto de salud que le falte proporcionará un daño adicional.
2 : Paladín : Tu tanque. Tiene 6 puntos de salud e inflige un solo punto de daño por ataque. Tiene la habilidad de aturdir al enemigo durante un turno o provocar al enemigo, impidiendo que ataque a cualquier otra persona durante la duración.
3 : Arquero : Tu cazador de daño secundario. Tiene 3 puntos de salud e inflige 2 puntos de daño por ataque. También puede disparar una flecha envenenada, infligiendo un solo punto de daño pero envenenando al objetivo durante dos turnos.","1 : Berserker (狂战士) : 你的主要伤害输出者。拥有 4 点生命值。每次攻击只造成一点伤害，但每缺失一点生命值，就会额外造成一点伤害。
2 : Paladin (圣骑士) : 你的坦克。拥有 6 点生命值，每次攻击只造成一点伤害。具有使敌人眩晕一回合或挑衅敌人、在持续时间内阻止其攻击其他人的能力。
3 : Archer (弓箭手) : 你的次要伤害输出者。拥有 3 点生命值，每次攻击造成 2 点伤害。还可以发射一支毒箭，造成一点伤害，但中毒目标持续两回合。","1 : Berserker (バーサーカー) : プライマリーのダメージディーラー。体力は4ポイントです。攻撃ごとに1ポイントのダメージを与えますが、体力が不足している場合は追加のダメージが与えられます。
2 : Paladin (パラディン) : タンク役。体力は6ポイントで、攻撃ごとに1ポイントのダメージを与えます。敵を1ターンの間スタンさせるか、敵を挑発して他の誰にも攻撃させないようにする能力を持っています。
3 : Archer (アーチャー) : セカンダリーのダメージディーラー。体力は3ポイントで、攻撃ごとに2ポイントのダメージを与えます。また、毒矢を放つこともでき、単体に1ポイントのダメージを与え、2ターンの間その対象を毒にすることができます。","1 : Berserker : Seu principal causador de dano. Possui 4 pontos de vida. Causa um único ponto de dano por ataque, mas cada ponto de vida faltante fornecerá um dano adicional.
2 : Paladin : Seu tanque. Possui 6 pontos de vida e causa um único ponto de dano por ataque. Tem a habilidade de atordoar o inimigo por um único turno ou provocar o inimigo, impedindo-o de atacar qualquer outra pessoa durante a duração.
3 : Arqueiro : Seu causador de dano secundário. Possui 3 pontos de vida e causa 2 pontos de dano por ataque. Também pode disparar uma flecha envenenada, causando um único ponto de dano, mas envenenando o alvo por dois turnos.","1 : Berserker (Берсерк) : Ваш основной наносящий урон персонаж. Имеет 4 очка здоровья. Наносит одно повреждение за атаку, но каждое отсутствующее очко здоровья добавляет дополнительное повреждение.
2 : Paladin (Паладин) : Ваш танк. Имеет 6 очков здоровья и наносит одно повреждение за атаку. Обладает способностью оглушить противника на один ход или провоцировать противника, препятствуя ему атаковать кого-либо еще в течение определенного времени.
3 : Archer (Лучник) : Ваш вторичный наносящий урон персонаж. Имеет 3 очка здоровья и наносит 2 очка повреждения за атаку. Может также выпустить отравленную стрелу, наносящую одно повреждение, но отравляющую цель на два хода.



"
HowToPlayMenu.Window5.Title,What Each Character does ?,Que fait chaque personnage ?,Was macht jeder Charakter?,¿Qué hace cada personaje?,每个角色做什么？,各キャラクターは何をするのですか？,O que cada personagem faz?,Что делает каждый персонаж?
HowToPlayMenu.Window6,"Shielded : Prevents all? (or 1? 2?) damage and effects from the next attack. Breaks afterward.

Strengthened : Increases damage for the duration.

Regenerating : Targets heals 1hp/turn for the duration. 

Initiative : Target acts first (before both allies and the boss) for the duration. If multiple allies have it, use base speed to determine who goes first.

Provoking : Character must be the target of the enemy’s next attacks

Poisoned : Targets suffers 1D/turn for the duration.

Burning : Target suffers 2D/turn for the duration.

Restrained : Prevents target from taking any action until freed. Targets suffers 1D/turn.

Disappeared : Target is absent from the fight for the duration. Cannot take actions or be targeted.

Stunned : Prevents target from taking any action for the duration. Removes sleep.

Unconscious : Prevents target from taking any action until it takes damage. Then, gets stunned for a turn.
Removes stun and fatigue.

Fatigue : Reduces attack damage for the duration. If applied twice, transforms into sleep.



","Shielded : Empêche tous (ou 1, 2 ?) les dégâts et effets de la prochaine attaque. Se brise ensuite.
Renforcé : Augmente les dégâts pendant la durée.
Régénération : La cible récupère 1 PV par tour pendant la durée.
Initiative : La cible agit en premier (avant les alliés et le boss) pendant la durée. Si plusieurs alliés l'ont, la vitesse de base est utilisée pour déterminer qui agit en premier.
Provocation : Le personnage doit être la cible des prochaines attaques de l'ennemi.
Empoisonné : La cible subit 1 point de dégât par tour pendant la durée.
Brûlure : La cible subit 2 points de dégât par tour pendant la durée.
Immobilisé : Empêche la cible de prendre toute action jusqu'à sa libération. La cible subit 1 point de dégât par tour.
Disparu : La cible est absente du combat pendant la durée. Elle ne peut pas prendre d'action ni être ciblée.
Étourdi : Empêche la cible de prendre toute action pendant la durée. Supprime le sommeil.
Inconscient : Empêche la cible de prendre toute action jusqu'à ce qu'elle subisse des dégâts. Ensuite, elle est étourdie pendant un tour. Supprime l'étourdissement et la fatigue.
Fatigue : Réduit les dégâts d'attaque pendant la durée. S'il est appliqué deux fois, se transforme en sommeil.","Geschützt : Verhindert alle (oder 1, 2?) Schäden und Effekte des nächsten Angriffs. Bricht danach.
Gestärkt : Erhöht den Schaden für die Dauer.
Regeneration : Das Ziel heilt 1 TP pro Runde für die Dauer.
Initiative : Das Ziel handelt zuerst (vor Verbündeten und dem Boss) für die Dauer. Wenn mehrere Verbündete dies haben, wird die Grundgeschwindigkeit verwendet, um zu bestimmen, wer zuerst handelt.
Provokation : Charakter muss das Ziel der nächsten Angriffe des Feindes sein.
Vergiftet : Das Ziel erleidet 1 Punkt Schaden pro Runde für die Dauer.
Brennen : Das Ziel erleidet 2 Punkte Schaden pro Runde für die Dauer.
Eingeschränkt : Verhindert, dass das Ziel bis zur Befreiung handelt. Das Ziel erleidet 1 Punkt Schaden pro Runde.
Verschwunden : Das Ziel ist während der Dauer vom Kampf abwesend. Kann keine Aktionen durchführen oder zum Ziel werden.
Betäubt : Verhindert, dass das Ziel während der Dauer handelt. Entfernt Schlaf.
Bewusstlos : Verhindert, dass das Ziel handelt, bis es Schaden erleidet. Wird dann für einen Zug betäubt. Entfernt Betäubung und Erschöpfung.
Erschöpfung : Reduziert den Angriffsschaden für die Dauer. Wenn zweimal angewendet, wird es in Schlaf umgewandelt.","Protegido : Evita todo (o 1, 2?) daño y efectos del próximo ataque. Se rompe después.
Fortalecido : Aumenta el daño durante la duración.
Regeneración : El objetivo se cura 1 PS por turno durante la duración.
Iniciativa : El objetivo actúa primero (antes que los aliados y el jefe) durante la duración. Si varios aliados lo tienen, se utiliza la velocidad base para determinar quién actúa primero.
Provocación : El personaje debe ser el objetivo de los próximos ataques del enemigo.
Envenenado : El objetivo sufre 1 punto de daño por turno durante la duración.
Quemadura : El objetivo sufre 2 puntos de daño por turno durante la duración.
Restringido : Impide que el objetivo realice cualquier acción hasta ser liberado. El objetivo sufre 1 punto de daño por turno.
Desaparecido : El objetivo está ausente de la pelea durante la duración. No puede realizar acciones ni ser objetivo.
Aturdido : Impide que el objetivo realice cualquier acción durante la duración. Elimina el sueño.
Inconsciente : Impide que el objetivo realice cualquier acción hasta que reciba daño. Luego, queda aturdido durante un turno. Elimina el aturdimiento y la fatiga.
Fatiga : Reduce el daño de ataque durante la duración. Si se aplica dos veces, se transforma en sueño.","护盾 : 阻止下一次攻击的所有（或1个、2个）伤害和效果。之后破裂。
强化 : 在持续时间内增加伤害。
恢复 : 目标在持续时间内每回合恢复1点生命值。
先发制人 : 目标在持续时间内先行动（在盟友和boss之前）。如果有多个盟友具有此状态，使用基础速度确定谁先行动。
挑衅 : 角色必须成为敌人的下次攻击目标。
中毒 : 目标在持续时间内每回合受到1点伤害。
灼伤 : 目标在持续时间内每回合受到2点伤害。
束缚 : 阻止目标采取任何行动，直到被解救。目标在持续时间内每回合受到1点伤害。
消失 : 目标在持续时间内缺席战斗。无法执行动作或成为目标。
眩晕 : 目标在持续时间内无法采取任何行动。移除睡眠状态。
失去意识 : 目标在没有受到伤害之前无法采取任何行动。然后，进入眩晕状态一回合。移除眩晕和疲劳。
疲劳 : 在持续时间内减少攻击伤害。如果应用两次，转化为睡眠状态。","シールド : 次の攻撃からの全て（または1つ、2つ）のダメージと効果を防ぐ。その後、破壊される。
強化 : 持続時間中にダメージを増加させる。
回復 : 対象は持続時間中に1HP/ターン回復する。
イニシアチブ : 対象は持続時間中に最初に行動する（仲間やボスより前）。複数の仲間がこの効果を持っている場合、基本速度で最初に行動する者が決定される。
挑発 : キャラクターは次の攻撃の対象になる必要がある。
毒 : 対象は持続時間中に1D/ターンのダメージを受ける。
燃焼 : 対象は持続時間中に2D/ターンのダメージを受ける。
制約 : 対象は解放されるまで何も行動できない。対象は持続時間中に1D/ターンのダメージを受ける。
消失 : 対象は持続時間中戦闘から消える。行動を起こせず、対象にされない。
スタン : 対象は持続時間中何も行動できない。睡眠状態を解除する。
無意識 : 対象はダメージを受けるまで何も行動できない。その後、1ターンのスタン状態になる。スタンと疲労を解除する。
疲労 : 持続時間中に攻撃ダメージを減少させる。2回適用されると、睡眠に変わる。","Protegido : Impede todo (ou 1, 2?) dano e efeitos do próximo ataque. Quebra depois.
Fortalecido : Aumenta o dano durante a duração.
Regeneração : O alvo se cura em 1 PV por turno durante a duração.
Iniciativa : O alvo age primeiro (antes dos aliados e do chefe) durante a duração. Se vários aliados possuírem, a velocidade base é usada para determinar quem age primeiro.
Provocação : O personagem deve ser o alvo dos próximos ataques do inimigo.
Envenenado : O alvo sofre 1 ponto de dano por turno durante a duração.
Queimando : O alvo sofre 2 pontos de dano por turno durante a duração.
Restrito : Impede que o alvo tome qualquer ação até ser liberado. O alvo sofre 1 ponto de dano por turno.
Desaparecido : O alvo está ausente da luta durante a duração. Não pode realizar ações nem ser alvo.
Atordoado : Impede que o alvo tome qualquer ação durante a duração. Remove o sono.
Inconsciente : Impede que o alvo tome qualquer ação até sofrer dano. Em seguida, fica atordoado por um turno. Remove o atordoamento e a fadiga.
Fadiga : Reduz o dano de ataque durante a duração. Se aplicado duas vezes, transforma-se em sono.","Защищен : Предотвращает весь (или 1, 2?) урон и эффекты следующей атаки. Затем разрушается.
Укреплен : Увеличивает урон на протяжении действия.
Регенерация : Цель восстанавливает 1 ОЗ за ход на протяжении действия.
Инициатива : Цель действует первой (перед союзниками и боссом) на протяжении действия. Если несколько союзников имеют это, используется базовая скорость для определения, кто действует первым.
Провокация : Персонаж должен стать целью следующих атак противника.
Отравление : Цель получает 1 очко урона за ход на протяжении действия.
Горение : Цель получает 2 очка урона за ход на протяжении действия.
Ограничение : Предотвращает действия цели до освобождения. Цель получает 1 очко урона за ход на протяжении действия.
Исчезновение : Цель отсутствует в бою на протяжении действия. Не может выполнять действия или быть целью.
Оглушение : Предотвращает действия цели на протяжении действия. Удаляет сон.
Без сознания : Предотвращает действия цели до получения урона. Затем оглушается на один ход. Удаляет оглушение и усталость.
Усталость : Уменьшает урон атаки на протяжении действия. При двукратном применении прев"
HowToPlayMenu.Window6.Title,Status Effects List : ,Liste des effets de statut : ,Status-Effekte-Liste :,Lista de efectos de estado :,状态效果列表：,ステータス効果リスト：, Lista de efeitos de status :,Список эффектов статуса :
LoseMenu.Text,You Lose !,Vous avez perdu !,Du hast verloren!,¡Has perdido!,你输了！,負けました！,Você perdeu!,Вы проиграли!
WinMenu.Text,You Win !, Vous avez gagné !,Du hast gewonnen!,¡Has ganado!,你赢了！,勝ちました！,Você venceu!,Вы победили!
